,idx,nid
0,133387,"['3814991', '3807348', '3807212', '3819619', '4343007']"
1,143267,"['4127952', '4122813', '4231560', '4126989', '4128156', '4211311']"
2,44899,"['2157290', '3986559', '1478454', '1362483', '3898474', '4000639', '4350192', '4777084', '4762264']"
3,127193,"['3512127', '4098694', '3506986', '3557888', '3908795', '4642422']"
4,130012,"['3952491', '3950407', '3956422', '4296820']"
5,133381,"['3773597', '3778593', '3779542', '3780042', '3782098', '4438242']"
6,132610,"['4143091', '4150688', '4159704', '4153728', '4154491', '4152891', '4206436', '4168533', '4158307', '4157127']"
7,127767,"['3813766', '4586901', '4004526', '3823395', '3814159', '3893991', '3892133', '3818296', '3875200', '3807262']"
8,127459,"['4137531', '3891060', '3888910', '4743265', '4738079', '4714608', '4783573']"
9,130417,"['4177755', '4098613', '4055342', '4063700', '4043037', '4111814', '4096393', '4307450', '4763345']"
10,113157,"['3158942', '3898441', '3897002', '3914996', '4266639']"
11,133397,"['3745199', '3830390', '4527591', '4438229', '3809277', '4256915']"
12,118958,"['4275223', '3753114', '3747841', '3749759', '3746594', '3746123', '3744795', '3747145', '3748418', '3747818']"
14,119300,"['4030594', '4030318', '4185899', '4349120', '4356909', '4247713', '4286392', '4738572']"
15,145636,"['4130112', '4119028', '4134834']"
16,93928,"['3884204', '4517737', '3733508', '4163483']"
17,118365,"['3919971', '3917808', '3942155', '3833968', '3935499', '3810986', '3805461', '3801321', '3812478', '3805373']"
18,122602,"['3736531', '3752089', '3751382', '3741709', '3653185', '3753384', '3752998', '3742236', '3734742', '3774749']"
21,107306,"['3784778', '3780844', '3803014', '3816028', '3789586', '3782134', '3804111', '3806360', '3814997', '3793229']"
28,115977,"['3999900', '3999681', '3984057', '3976804', '4018379', '4041807', '4014964', '4095975', '3983800', '4013649']"
30,140711,"['4150446', '4279757', '4517266', '4191168', '4168141', '4144532', '4380301', '4120166', '4279370', '4447374']"
31,85807,"['4200346', '4077518', '3735833', '3743818', '4526340', '4739504']"
32,100023,"['4376889', '4183264', '3876971', '3869209', '3877930', '4229943', '3893404', '3947335', '3883737', '3911147']"
33,109905,"['3852035', '3851927', '3850780', '3850514', '3850910', '3850547', '3851920', '3850636', '3855432', '3854854']"
35,130377,"['3614226', '4139592', '4526344']"
36,121745,"['4805256', '4212044', '4009402', '3913631', '3925219', '4529204']"
37,129050,"['3974859', '4025124', '4013652', '3998416', '3995537', '4007650', '4015249', '4025881', '4019106', '4015417']"
38,109473,"['3851514', '3851107', '3851643', '3854662', '4186687', '4399618', '4375235', '3862873', '3858609', '4250562']"
39,120553,"['3612351', '3828817', '3821798', '3872684', '3820883']"
40,124285,"['4256432', '3940858', '3811318']"
41,141406,"['4387567', '4129193', '4718098', '4134835', '4243384', '4287119']"
42,124737,"['4001514', '4023758', '4016540', '4043052', '4566017', '4021093', '4609516']"
43,134954,"['4112645', '4107001', '4096985', '4051467', '4204302', '4120748', '4080979', '4465617', '4220167', '4139419']"
