,idx,nid
0,115964,"['4330412', '3830638', '4327908', '4805881']"
2,130985,"['4416314', '4417676', '4420409', '4412016', '4730406', '4696559', '4715300', '4771700']"
3,134859,"['4419044', '4378964', '4378936', '4479892', '4421132', '4377177', '4325738', '4377992', '4376940', '4457873']"
5,144943,"['4356861', '4366800', '4418159', '4747137', '4659464', '4355175', '4336357', '4382839', '4360311', '4369124']"
6,137887,"['4525231', '4438515', '4420190', '4417927', '4417896', '4417566', '4437820', '4663958', '4774978', '4779308']"
8,143263,"['4285804', '4398033', '4288242', '4717935', '4711093', '4680941', '4668908']"
9,154317,"['4417623', '4361284', '4387139', '4450937', '4418091']"
10,95449,"['4393598', '4415557', '4397345']"
12,153497,"['4340959', '4342499', '4355171', '4342464', '4349375', '4350140', '4366224']"
13,146386,"['4630355', '4739888', '4717830', '4757771', '4664534', '4776969', '4804194']"
14,121128,"['4251100', '4298214', '4257456', '4495937', '4453464', '4257160', '4254383']"
15,154307,"['4649880', '4498687', '4431337', '4663951', '4658180', '4660678', '4654623', '4768226', '4759479', '4777976']"
16,130972,"['4300195', '4370100', '4319681', '4393756', '4370649', '4351988']"
19,127424,"['4206163', '3813955', '4324102', '4326938', '4326961', '4243897']"
21,154316,"['4363086', '4363616', '4553468', '4645403']"
23,119430,"['4281044', '4279678', '4282211', '4282185', '4281632', '4278923', '4351276', '4295729', '4285515', '4281850']"
25,148468,"['4398524', '4416327', '4454098']"
26,94765,"['4241873', '4268561', '4746743']"
27,89756,"['4387103', '4386710', '4420316', '4393073', '4384623', '4417930', '4763458']"
33,155770,"['4485489', '4593458', '4623228', '4399654']"
36,143825,"['4311373', '4752394', '4340940', '4383863', '4487809']"
37,143824,"['4314750', '4754281', '4786996']"
38,153516,"['4593054', '4684352', '4417558', '4504512']"
39,149481,"['4649878', '4728316', '4681091', '4673085', '4767142', '4754650', '4770047']"
41,146193,"['4361611', '4357739', '4357229', '4400485', '4375957', '4362627']"
42,128273,"['4247097', '4246444', '4275229', '4275133', '4246529', '4279190', '4278415', '4275821', '4264864', '4258845']"
43,112082,"['4236349', '4235613', '4234449', '4231488', '4230637', '4230393', '4208875', '4504443', '4231394', '4348518']"
48,129331,"['4236815', '4236480', '4213676', '4466366', '4451823', '4236088', '4233825', '4229779', '4235362', '4234212']"
49,154311,"['4400450', '4504659', '4528900', '4445145']"
50,87585,"['4717928', '4759287', '4806220']"
51,139613,"['4275647', '4282346', '4278997', '4395239', '4314273', '4288362', '4287864', '4282028', '4281035', '4338647']"
52,136686,"['4190001', '4185479', '4183747', '4198013', '4195492', '4190269', '4239426', '4204820', '4212577', '4211190']"
54,140730,"['4360302', '4348369', '4344904', '4374071', '4355576', '4349132', '4440005', '4439297', '4398988', '4384453']"
59,143624,"['4339202', '4375445', '4337294', '4335231', '4353574', '4380452', '4337178', '4497701', '4400487', '4746672']"
60,154102,"['4360605', '4714368', '4361299', '4361344', '4416928']"
61,145693,"['4249474', '4247993', '4251456', '4262963', '4627657']"
62,99675,"['4382051', '4497710', '4336036', '4334917', '4659352', '4708546', '4739506', '4702497', '4767734', '4788767']"
64,20363,"['2528882', '4756241', '1727687', '1375909', '1796620', '3228665', '3471715', '4019950']"
65,149955,"['4395106', '4445254', '4307867']"
66,134987,"['4305277', '4303592', '4298415', '4305824', '4745723', '4728670', '4713873']"
68,146504,"['4476010', '4603662', '4520218', '4285058', '4454157', '4311602', '4295495', '4301140', '4297397', '4461010']"
69,127079,"['4372051', '4371026', '4371141', '4371126', '4371854', '4371167', '4371109', '4371039', '4432603', '4371180']"
72,142641,"['4384154', '4421196', '4381832', '4433628', '4424795', '4422720', '4439730', '4717863']"
75,138575,"['4181780', '4185199', '4218844', '4187002', '4282563', '4434935', '4769314', '4756197']"
80,75006,"['4289835', '4070077', '4292050', '4302498', '4291157', '4290812', '4290494', '4297337', '4296569', '4294409']"
81,126059,"['4544864', '3929592', '4526237']"
85,146214,"['4421527', '4421307', '4439002', '4435504', '4421805', '4441408', '4440218', '4717851', '4758653', '4804913']"
87,117803,"['4353206', '4660937', '4776248']"
89,136687,"['4696421', '4452867', '4371357', '4258502', '4266029', '4432299', '4295104', '4255863', '4267245', '4256722']"
90,127333,"['4429478', '4423844', '4746664', '4806056']"
92,147936,"['4437012', '4441044', '4520190', '4425922', '4482356', '4459918', '4669595']"
93,127390,"['4385102', '4557103', '4353491', '4355269', '4357673', '4362560', '4494678', '4368492', '4431733', '4748179']"
95,145404,"['4252028', '4256540', '4262530', '4256613', '4254507', '4257631', '4275580']"
97,139438,"['4103435', '4086313', '4165815', '4101776', '4152358', '4126519', '4485830', '4151679', '4169219', '4153789']"
98,136201,"['4440283', '4276365', '4442803', '4280296', '4496371', '4685906', '4791196']"
101,137349,"['4245599', '4747083', '4699123', '4658321', '4694189', '4784972', '4785861', '4803370']"
102,125434,"['4334751', '4327145', '4309969', '4309880', '4308126', '4303608', '4693395', '4672547', '4765215']"
103,139452,"['3893925', '4786284', '4371286', '4342427', '4346916', '4349427', '4621743', '4359789']"
104,78384,"['4188437', '4490188', '4321549', '4205083', '4206797', '4225026']"
106,115717,"['4325351', '4314919', '4316992']"
107,127361,"['4382986', '4519105', '4363540', '4352013', '4351122', '4499438', '4352632', '4351255', '4350555', '4342634']"
108,131294,"['4417924', '4568069', '4663468']"
110,55009,"['2380054', '4255702', '1995529', '4256586']"
111,144963,"['4315754', '4329337', '4247460', '4317037', '4334815', '4328630', '4386907']"
112,142530,"['4195319', '4210526', '4367639', '4558317', '4211842', '4312459', '4418139']"
114,74866,"['4299465', '4297653', '4300537', '4298736', '4299582', '4300314', '4298294', '4398830', '4301015', '4300523']"
116,130430,"['4693859', '4676459', '4778384']"
117,155550,"['4385738', '4502916', '4377628', '4383747', '4378078', '4387706', '4387990', '4390584', '4447472']"
118,142822,"['4326630', '4326647', '4328873', '4325975', '4323621', '4327706', '4332241', '4329131', '4355707', '4325654']"
120,129461,"['4418033', '4415865', '4447612', '4438434', '4734950', '4389245', '4483207', '4388005', '4387054', '4380582']"
121,136826,"['4374398', '4363630', '4427976', '4746669', '4654592', '4672687', '4797362']"
123,145289,"['4185205', '4186125', '4189393', '4196690', '4421723']"
128,148627,"['4238360', '4241397', '4246375']"
131,149646,"['4240885', '4294151', '4251953']"
132,107352,"['4133449', '4233528', '4203863', '4202700', '4202435', '4177828', '4225409', '4204371', '4197052', '4196975']"
133,146534,"['4377774', '4377028', '4376673', '4376589', '4392182', '4371252', '4442127', '4395603', '4377885', '4377288']"
134,147362,"['4186613', '4193054', '4192607', '4200916', '4486308', '4194369', '4533243', '4371916', '4552950']"
135,119510,"['4467232', '4428776', '4428659', '4478189', '4443081', '4419119', '4587095', '4430713', '4430545', '4717857']"
140,93929,"['4342451', '4334936', '4357744', '4354483', '4354415', '4342247', '4356330', '4717872']"
141,119412,"['4380316', '4419081', '4461560', '4448351', '4445741', '4437561', '4439747', '4416376', '4417397', '4416918']"
142,136886,"['4140903', '4298083', '4604200', '4544014', '4795222', '4795221']"
143,155120,"['4670186', '4607563', '4493436']"
144,116895,"['4401440', '4418475', '4439526']"
147,154329,"['4365592', '4371832', '4371917']"
148,149567,"['4263643', '4258084', '4308058', '4259070', '4268954', '4350338', '4273194', '4277458', '4268475']"
149,152095,"['4478855', '4304486', '4339040', '4384053', '4716979', '4306839', '4309608']"
150,154137,"['4357629', '4373765', '4400482', '4377418', '4674305']"
151,122489,"['4296068', '4287644', '4273599', '4300068', '4298582', '4298283', '4296629', '4294521', '4292902', '4291517']"
152,149650,"['4244713', '4542561', '4759747', '4246726', '4254577', '4285575', '4659666']"
153,126504,"['4304495', '4750388', '4659170', '4783513']"
