title,review
어롱 더 로드사이드,",어롱 더 로드사이드 Along the Roadside, 2013 코미디, 멜로/로맨스 미국 108분 [국내] 15세 관람가,,감독 | 조란 리시넥 배우 | 안젤리나 핸쉬(니나), 아이맨 크로슨(바니), 마이클 매드슨(제리),,,,,,올 여름도 어김없이 좀비, 액션, 공포/호러 장르의 영화가 많은 관객들에게 호평을 받고 있다. 이러한 자극적인 영화들 사이에서도 잔잔하게 감성적으로 다가오는 음악 영화가 있다.,,LA, 샌프란시스코를 배경으로 펼쳐지는 Road Trip. 한번 쯤은 꿈꿔보는 여행지에서의 낯선 사람과의 만남 & 로맨스. 미국 여행을 대리 만족할 수 있는, 보고 듣고 즐기는 신선한 영화이다.,,<원스>가 쓸쓸하면서도 묵직한 가을 영화였다면 <어롱 더 로드사이드> 는 싱그러운 여름날 같은 느낌이라고나 할까.,,OST의 전곡에 작사/작곡에 참여한 감성 싱어송라이터 콜 보너 (Cole Bonner)는,해외 각종 영화제에서 음악상을 수상하며 주목받고 있다.,,블록버스터도 좋지만,이렇게 소소하게 감성적으로 다가오는 음악 영화가,국내에서도 계속해서 개봉하길 기대해본다.,,개인 평점 ★★★★★,,,,,,추천하였습니다."
어바웃 레이,"어바웃 레이,리뷰보기,,,남다른 해이다. 영화 등장인물 절반 이상이 여성인 영화가 속속들이 나오고 있다. 연초 캐롤으로 시작해 아가씨, 비밀은 없다, 미씽, 연애담...막상 세어보니 몇 안 되네. 이제껏 얼마나 여성영화가 적었으면 이 정도의 숫자가 특별해 보일까.,,저 페미니스트입니다.,어디서 말하기는 꺼려진다. 말을 뱉은 뒤 당할 불이익 때문이 아니다. 멍청하고 논리적이지 못한 탓에 혹여나 페미니스트 이미지에 누를 끼칠까 두려워서. 솔직히 게으른 거지. 대충 기사, 사건만 소비하고 적극적으로 논리를 쌓으려는 노력을 하지 않는 거잖아. 쨋든 타인에게 설파하고 의견을 개진하는 것은 내 영역이 아니다. 그렇다고 넋 놓고 바라볼 수만은 없다. 관련 콘텐츠가 나오면 지갑을 열고, 널리 알리려고 한다.,성 소수자하면 보통 게이나 레즈를 떠올린다. 생각보다 이들의 범위는 넓다. 성적 대상이 동성이냐 이성이냐 뿐만 아니라 본인의 성을 어떻게 받아들이냐 까지 포함이다. 크로스드레서나 트랜스젠더를 들어 봤다. 2000년대 초반 유명 연예인의 활동으로 수적으로 우세한 게이나 레즈 보다 되려 트랜스젠더가 더 익숙한 사람들도 있다. 이들 중에서 굉장히 희소한 게 여자->남자로 성을 바꾸는 경우라고 들었다. 레이가 그렇다.,다코타 패닝의 동생으로 잘 알려진 엘르 패닝이 여자의 몸으로 태어난 boy, 레이로 분한다. 나오미 왓츠가 그의 엄마로 수잔 서랜든이 엄마의 엄마로 나온다.,,레이의 가족이 그의 상태를 받아들이고 병원에서 치료를 앞 둔 시점에서 영화는 시작한다. 레이는 어릴적 이미 자신의 이상을 감지한다. 본인의 상태를 가족들에게 알리는데에만 수 년이 걸렸을 것이다. 호르몬 치료는 몇 년 간의 사투로 이뤄낸 성취이다. 그럼 이제 불행 끝! 행복 시작! 은 아니다. 호르몬 치료를 위해선 부모님의 동의서가 필요하다. 부재한 아버지를 찾을 수밖에 없는 상황이 된다.,,참 재밌는 게 레이의 할머니인데 그녀 또한 성 소수자다. 여자를 사랑한다. 소수자는 소수자를 더! 잘! 이해하지 않을까? 그러면 좋지만 세상이 그렇게 호락호락할까. 레이의 할머니는 ""그냥 레즈하면 안돼""냐고 말한다. 본인이 가지지 않은 속성을 공감할 진 모른다. 이해 할 지도 모른다. 하지만 받아들이긴 어렵다. 유일한 지지자는 엄마인데, 엄마마저 겉으로만 그렇다. 사랑한다. 니가 자랑스럽다. 말하지만 혼란이 얼굴에 그대로 들어난다. 같이 산 가족은 이러하고, 태어난 이후 서명때문에 처음 볼 아빠의 반응은 어떨까. 그제서야 아버지로서 위엄을 드러낸다. 언쟁도 있고 갈등, 위기, 고조, 사건 모두 있지만 결국 하하호호 가족의 화합으로 끝을 맺는다.,화합할 수 있는 이유는 당연 서로에 대한 이해 덕이다. 화합의 중심엔 레이가 있고, 레이가 없다면 화합도 없다. 요약하자면 레이가 본인을 찾으려 했기 때문에 가족이 좆같이 되지 않은 것.,,세상이 확실히 변하기도 했고, 영화 또한 성을 바꾸는 걸 아주 심각하게 나타내지 않았다. 우리 사회에서 자녀가 미술이나 음악 한다고 선언하는 정도로 느껴졌다.,영화에서 엄마인 나오미 왓츠만 삼대 중 유일한 성적 다수자이다. 이걸 헤테로섹슈얼이라고 부르는 거 같던데. 그럼에도 소수자인 할머니나 레이 만큼이나 심적 타격을 입지 않았을까. 나를 낳은 엄마는 동성애자이고, 딸은 실은 아들이라고 하니 말이다.,부모가 성적 소수자임을 고백하는 것과, 자녀가 그러는 것 중 무엇이 더 나에게 큰 영향을 미칠까. 말미에 생각해 본다.,,,,,,,추천하였습니다."
어바웃 레이,"어바웃 레이,리뷰보기,성 정체성에 대한 내용들이 꽤 많다.,그러고 보니 이런 상황은 뭐가 다른 거지?,(여성인 경우) 레즈비언으로 살아가는 것과 아예 몸을 남자로 바꿔서 살아간다는 것.,어떤 차이일까?,,레이의 가족은 참 유별나다.,레즈비언인 할머니. 남자 여럿 울린 엄마. 그리고 성전환을 꿈꾸는 레이.,다들 이해는 하지만 몸을 바꾸는 것에 대해서는 많은 거부감을 나타낸다.,엄마로써 나중에 애가 실수였다고 하면 어쩌지 하는 걱정으로의 거부감.,할머니로써 그냥 자기처럼 레즈비언으로 살면 안 되나? 굳이 몸을 바꿀 필요가 있니?라는 생각으로서의 거부감.,,저번에 연애담이랑은 또 다른 시각.,뉴욕이라는 배경이라 가능한 것일 수도 있겠다.,어쩜 캐릭터들 하나하나가 이렇게 개성이 넘칠 수 있지?,레이와 엄마의 대화를 보면 인간대 인간의 대화라고 느껴진달까?,16살 밖에 되지 않았지만 자신의 삶에 진지하게 물어보는 태도.,물론 사회의 거부감도 보여준다. 하지만 이 영화에서 초점으로 맞춘 건,'네가 진정으로 원하는 건 뭐니?'가 아닌가 한다.,,성 정체성에 대한 질문을 넘어선.,그것을 포용하고 앞으로 어떻게 살아가야겠느냐에 더 많은 질문을 하게 되는 듯하다.,그래서 넌 어떻게 살고 싶은 거니? 그런 상황을 받아들였는데 몸을 바꾸는 삶이 더 행복하겠니?,그렇다면 네가 하고 싶은 대로 하렴. 우린 남자아이를 받아들일 준비가 되어 있단다.,그렇게 답하기까지 우여곡절이 많긴 했다. 어려웠지만 그들은 해냈다. 그게 가족의 힘인가?,,그리고 할머니네 집.,공간이 참 재밌다. 좁지만 높은 집. 땅콩집이랑 비슷한 거 같았는데,뉴욕이라는 미국적 공간에 대해 생각해본다.,,,,,추천하였습니다."
어바웃 레이,"어바웃 레이,리뷰보기,,다문화. 라는 말이 다른 나라의 문화만을 의미하는 것이라면 적절치 않겠지만, 그 말 그대로 다문화라는 것을 다양한 문화라고 생각한다면 신종 성적 다문화에 대한 영화.,,엘르 패닝도 최선을 다했겠지만 작은 분량이라도 수잔 서랜든의 분위기에 한참 밀리긴 한다.,,이 영화에 나오는 주제가 익숙치 않고 복잡하다는 것도 2016년 현재에 불과할 뿐일 것이다.,,대한민국에서 10 여년 전만 해도 이혼남 이혼녀는 사회에 죄지은 듯이 숨기고 감춰야 했겠지만 지금은 당당하지만은 않더라도 사회적으로 용인되는 분위기. 앞으로는 누가 누구의 과거를 용인할 자격이 있는가. 용인할 필요가 있는가에 대해 더 깊이 생각하고 판단하는 사회가 되겠지.,,성을 바꾸는 것도.,내가 사랑하는 성을 선택하는 것도.,사실 주변에서 그것을 비판하는 것 자체가 도를 넘어선 행동일 뿐이다.,남들과 다른 성소수자로 살아가는 것에서 가장 괴롭고 외로운 것은 그들 본인일텐데 어쩔 수 없는 그들의 선택을 공감하지 않는 남에게 허락을 구해야 하는 것이 타당하기나 한가 말이다.,,10년 후. 20년 후에는.,나의 손주의 여자친구의 엄마가 둘이어도 그것이 자연스러운 사회가 될 테고, 그것이 결코 사회를 더럽히거나 문란하게 하는 형태가 아니라는 공감대가 서서히 형성될 것이라 믿는다.,,추천하였습니다."
어바웃 레이,"어바웃 레이,리뷰보기,내가 메가박스 포인트가 좀 있었던 것 같아서 , 일부러 메가박스를 찾아갔는데,9,000 포인트 이상부터 사용 가능이랜다 . 그래도 SKT 로 할인,,레즈비언 외할머니 수잔 서랜든,싱글맘 엄마 나오미 왓츠 .,성전환 수술을 앞두고 있는 딸래미 엘르 패닝,,한집에 사는 세 여자가 서로의 어깨에 의지해 가며 나아가는 영화,분명히 말하건데 퀴어 영화 아니다 .,TWO THUMBS UUUP !!,,하얗고 마른 몸의 , 엘르 패닝은 언제 이렇게 컸나 .,얼른 남자로 몸을 교체하고 , 정상적이고 안정된 생활을 하고 싶은데,청소년인 그녀를 위해 부모인 나오미 와츠는 동의서에 사인을 해야하는데,난관이 많다 . 물론 , 그녀 스스로 두렵기도 하겠지,,어느날 수염이 덥수룩한 아들이 , 나에게 다가와 - 엄마 . 그때의 선택이 틀렸어요 ' 라고 하면 어떻게 하나,누가 우리 레이 ( 남자가 되었을때의 이름 ) 를 사랑해 줄 수 있을까요 ',라고 말하며 엎드려 우는 엄마 .,성 소수자든 , 트렌스 젠더이든 . 그 누구의 엄마든 같은 마음이 아닐까,,SWEATSPANTS,SWEATS PANTS,SWEATS,,노멀하게 사는것이 아니라 , 진실되게,,,2016 . 12 . 6,,,추천하였습니다."
어롱 더 로드사이드,",,,,영화정보,,,,http://www.imdb.com/title/tt2290113/,﻿,,,예고편,,,,,추천하였습니다."
어롱 더 로드사이드,",,“나와 함께 갈래요?”,자신을 둘러싼 모든 것이 불만인 방황하는 청춘 바니. 반면 회색 눈으로 세상을 보지만 항상 밝은 그녀 니나. 둘은 LA에서 열리는 뮤직 페스티벌에 동행하게 된다. 서로 다른 사연과 감성을 가진 이들은 긴 여정 동안 서로의 상처를 음악으로 감싸주며 치유를 얻게 되고 점점 서로를 알아가며 마음을 열게 되는데….,,영화정보 : http://movie.naver.com/movie/bi/mi/basic.nhn?code=115964,,추천하였습니다."
어롱 더 로드사이드,"어롱 더 로드사이드,리뷰보기,,,,,,,,[2022-96],어롱 더 로드사이드,,,,,,,2022년 3월 22일 화요일 모바일+시리즈온 평점 2.5점,,,올해 96번째로 감상한 영화다. 양보다 질이라는 말도 있지만 영화의 경우 개인마다 취향이 다르기 때문에 평점은 참고사항일뿐이지 절대적이지는 않다고 생각한다. 따라서 시간이 된다면 이것 저것 많이 감상하는쪽이 더 좋은 영화를 만날 수 있는 확률이 높다. 평소 출퇴근시 대략 영화 한 편을 보고, 주말에 2편씩 4편 얼핏잡아 주당 10편쯤 감상하는데 직장인치고 꽤 많이 보는것 같기는 하다.,,이에 포스팅이 자꾸 늦어지는것 같아 당분간 1일 2회의 포스팅으로 짤막하게 감상평을 남겨보려고 한다. 올해의 최종스코어는 몇 편이나 될지 살짝 궁금하다. 영화를 보는 여러 경로중 시리즈온에서 무료로 풀리는 작품들이 있는데 전혀 몰랐던 영화들중 의외로 좋은 영화를 만날 수 있는 루트다. 이 영화는 그 정도까지는 아니지만 그냥 저냥 무난하게 감상한 일종의 로드무비다.,,영화의 줄거리를 간단하게 살펴보자면,,,""자신을 둘러싼 모든 것이 불만인 방황하는 청춘 바니. 반면 회색 눈으로 세상을 보지만 항상 밝은 그녀 니나. 둘은 LA에서 열리는 뮤직 페스티벌에 동행하게 된다. 서로 다른 사연과 감성을 가진 이들은 긴 여정 동안 서로의 상처를 음악으로 감싸주며 치유를 얻게 되고 점점 서로를 알아가며 마음을 열게 되는데......(네이버 발췌)"",,독특하고 발랄한 오스트리아 출신의 뮤지션이 잘 생긴 흑인을 우연히 만나 LA까지 동행하며 살짝 로맨스에 빠지는 스토리다. 여주인공이 뮤지션임에 따라 선곡된 음악들도 꽤 들을만했다. 배우들의 연기는 뛰어나지는 않았지만 전반적으로 무난했는데, 두 주연 배우들의 다른 작품들을 찾았봤더니 이 영화 딱 한편만 찍었더라는....,,아울러 영화를 연출한 감독 조란 리시넥의 필모에도 역시 이 작품 하나만 볼 수 있었다. 일종의 독립영화 스타일이 느껴지며 어느 정도 진정성도 살짝 묻어나는 작품이었다. 참, 이 영화에서 얼굴을 아는 배우로 마이클 매드슨 형님이 거의 단역에 가깝게 출연하셨는데 어떤 인연으로 출연하셨는지 조금 궁금하기는 했다. 음악영화를 좋아한다면 무난하게 볼만한 그런 영화로 생각된다.,,추천하였습니다."
어카운턴트,",,,The Accountant          ,      2016,,,감독은 이 영화를 남다르게 독특하게 뭔가 차별화된 연출을 하려 너무 애를 썼는지 보는 이는 부담스럽다.,,미남 배우 '벤 애플렉'을 주인공으로 만든 의도를 뻔히 알겠지만 너무 영화를 한쪽으로 어렵게 몰고 가는 모습이 보인다.,,단순하게 보기에는 부담스럽고 어렵게 보기에는 복잡한 흐름이랄까... 킬링타임용은 아니지만 여하튼 부담스러운 영화다.,,​,,,,어카운턴트,리뷰보기,,,추천하였습니다."
어바웃 레이,"어바웃 레이,리뷰보기,,추천하였습니다."
