,idx,nid
0,10275,"[4736677, 4655492, 4795890, 4805179]"
1,16894,"[4721354, 4714592, 4753371]"
2,10741,"[2318958, 3022694, 3068181, 3473306, 3035012, 2400259, 2944278, 2790065, 3314681, 3350711]"
3,12918,"[3944378, 1358038, 2963975, 1339788, 3330175, 3328312, 2372596, 1977025, 2790174, 3092294]"
4,16514,"[4759229, 4777036, 4794906]"
5,17159,"[144012, 52761, 144230, 144090, 104870, 147378, 153804, 127885, 144018, 44334]"
6,17502,"[4610159, 4260493, 4661528, 4748050, 4737133, 4712014, 4724645]"
7,17062,"[1908790, 3107981, 3616808, 4610934, 3656752, 3738218, 4462406, 3889303, 3604309, 4756858]"
8,17421,"[238884, 1296110, 308257, 4482257, 4076201, 1209168, 1875728, 2638636, 512392, 2766425]"
9,17773,"[1026359, 1020941, 289761, 248751, 912472, 1285956, 1057751, 713068, 340506, 736215]"
10,17150,"[83707, 146261, 92799, 118773, 125915, 147940, 30701, 147689, 86083, 137587]"
11,18003,"[3411431, 2840187, 2393744, 4171677, 2325079, 3485121, 3040464, 3258406, 3179651, 4559900]"
12,19079,"[339730, 3671410, 3125986, 239516, 388457, 228501, 1037057, 1061551, 1019436, 318360]"
13,25757,"[4309958, 4652848, 4757225, 4767203]"
14,22126,"[1205926, 1207415, 1739580, 2872613, 1721617, 3877849, 807425, 1275790, 1213223, 1789267]"
15,27260,"[122455, 111072, 2824, 73944, 96073, 136097, 129304, 156959, 110638, 104459]"
16,14802,"[2799059, 1425851, 1498961, 4488841, 4390069, 4312351, 4235660, 4385100, 4389056, 3387711]"
17,27268,"[600976, 1230416, 2658741, 4311537]"
18,33147,"[4279776, 3832610, 4364220, 4607990, 4227403, 4392747, 4288614, 4422500, 3667213, 4609170]"
19,34532,"[4258316, 2171016, 2789970, 2293731, 2503827, 2390966, 2432531, 4262010, 90254, 92866]"
20,36565,"[1873734, 2139095, 1648250, 2959072, 1971137, 4468934, 4620442, 3573838, 4607748, 3143534]"
21,36590,"[4636597, 3609145, 4427203, 4427664, 4261160, 4426993, 4425646, 4267745, 4435754, 4428511]"
22,10874,"[3527335, 4309716, 4309052, 4305631, 4737285, 4681407]"
23,39043,"[63688, 61841, 64899, 57648, 60249, 900529, 2127868, 1269140, 1220025, 2621548]"
24,39369,"[68239, 75446, 71076, 75306, 69192, 70682, 75234, 67370, 68523, 70807]"
25,38464,"[61758, 107905, 101258, 58623, 131220, 97733, 61307, 129850, 62647, 77990]"
26,38318,"[138524, 137530, 141837, 76649, 71201, 142800, 140163, 143308, 91696, 142719]"
27,39527,"[3817607, 4248350, 4429962, 4731279]"
28,59075,"[2179278, 1002365, 1393989, 1006503, 1149212, 2201020, 993225, 993472, 1017687, 1012834]"
29,61101,"[1088272, 1068160, 1061940, 1075755, 1096466, 1062876, 1079026, 1133733, 1107742, 1106247]"
30,63513,"[890973, 820369, 994345, 851782, 753608, 824520, 824254, 838334, 2231818, 1932585]"
31,52553,"[740996, 2117114, 718382, 730207, 562351, 757698, 1009069, 2141544, 752465, 2241164]"
32,68502,"[1963784, 1387297, 1393643, 1388104, 1420557, 1405352, 1381800, 1418963, 1389224, 1402127]"
33,48689,"[4241427, 4240689, 1497706, 4240708, 3663529, 1506092, 2101837, 3546218, 4241320, 4215682]"
34,62555,"[1246896, 1247550, 1254028, 1231732, 1230293, 1252170, 1225024, 1239169, 1221447, 1224648]"
35,65953,"[4252097, 4252319, 4172653, 4221061, 4253585, 4285516, 4260131, 4263093]"
36,50749,"[2209031, 1887964, 1836660, 4595481, 3276365, 4648341, 4384963, 4331736, 4364302, 4340326]"
37,14170,"[3756763, 4319484, 4424411, 4692928]"
38,51690,"[2210504, 2211090, 2234125, 2209758, 2244416, 2225376, 2292257, 2590529, 2904734, 4256545]"
39,84505,"[2476589, 2470417, 2629417, 2488297, 2470140, 2642644, 2486393, 3014423, 2828068, 2481128]"
40,73372,"[2470534, 2334336, 2437403, 2325764, 2549546, 2486257, 2349579, 2357070, 2476935, 2315270]"
41,74610,"[3006498, 2812503, 2821836, 3209371, 2883901, 3100155, 3197942, 3308097, 3145369, 3633336]"
42,78845,"[2782742, 2743684, 2739572, 2740208, 2755499, 3145986, 2746341, 2739891, 2826393, 3288321]"
43,99094,"[3317658, 3467734, 3444609, 4265818, 3334033, 3439688, 3733522, 3787827, 3345015, 3813492]"
44,45290,"[3656313, 3659852, 3653609, 3654959, 3653541, 3551941, 3646432, 3652877, 3642912, 3643047]"
45,118948,"[3866058, 3859595, 3868040, 3866181, 3865502, 3870778, 3862822, 3862673, 3865639, 3864393]"
46,140265,"[4002914, 4215816, 4172579, 4217910, 4224296, 4226057, 4282117, 4223247, 4214210, 4213128]"
47,155172,"[4394035, 4396061, 4399764]"
48,147365,"[4281810, 4500894, 4743292]"
49,113352,"[4224270, 4242344, 4242220, 4241193, 4475083, 4246138, 4245185, 4243027, 4243011, 4241856]"
50,19374,"[4292120, 4652046, 4737215, 4758871]"
51,135694,"[4276363, 4268963, 4285498, 4277036, 4686954, 4686774, 4753456, 4686931, 4770891, 4778578]"
52,132946,"[4222164, 4269569, 4237784, 4250162, 4254726, 4250638, 4473706, 4243777, 4236940, 4614480]"
53,121365,"[4331631, 4346689, 4588576, 4320207, 4657754, 4657164]"
54,145285,"[4205044, 4211542, 4196447, 4188304, 4211200, 4215152, 4234478, 4300759, 4786449, 4472495]"
55,141259,"[4395088, 4419402, 4418027, 4397844, 4395910, 4394444, 4424369, 4399298, 4397464, 4426349]"
56,154125,"[4393277, 4386174, 4476351, 4393929, 4395241, 4717861]"
57,106839,"[4228107, 4215438, 4675663, 4229642, 4213729, 4220005, 4209377, 4227862, 4268315, 4397102]"
58,144355,"[4383171, 4396790, 4382646, 4392703, 4430722, 4429480]"
59,150552,"[4293949, 4283943, 4304548, 4340079, 4292370, 4293041, 4354988, 4611040, 4439281]"
60,118967,"[4231015, 4226501, 4224950, 4450067, 4236523, 4236102, 4232281, 4227690, 4236355, 4236222]"
61,119627,"[4188374, 4076537, 4204792, 3884961, 4398380, 4213312, 4771337]"
62,115620,"[4353935, 4345107, 4717903]"
63,99583,"[4192368, 4293456, 4238932]"
64,118953,"[4367542, 4754027, 4765500, 4283603, 4538050, 4356890, 4355791, 4353270, 4363083, 4361470]"
65,145804,"[4378627, 4541934, 4380161, 4563948, 4547698, 4389265, 4390612, 4389564, 4390573, 4379914]"
66,145662,"[4338192, 4337227, 4338133, 4334934, 4640461, 4740678]"
67,153417,"[4323751, 4513701, 4328618]"
68,130903,"[4199429, 4196264, 4204835, 4202631, 4193232, 4229466, 4201800, 4196941, 4195532, 4194806]"
69,122566,"[3508506, 3508007, 4466856, 4681997, 3524637, 3558550, 4455157, 3506768, 4446548]"
70,143335,"[4171033, 4166341, 4170920, 4183033, 4471519, 4217059, 4425305, 4288090, 4748382]"
71,143337,"[4178701, 4160600, 4293128, 4288092]"
72,155414,"[4390487, 4420102, 4397645, 4478122, 4391528, 4452150, 4396055]"
73,61385,"[4060506, 3004489, 2705515, 3014903, 4727797]"
74,145350,"[4180980, 4181192, 4208010, 4334848]"
